engine_id,cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,max_cycle,RUL,health_stage,health_percent,anomaly_label
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.0,39.06,23.419,192,191,Healthy,99.48,0
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.0,39.0,23.4236,192,190,Healthy,98.96,0
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.0,38.95,23.3442,192,189,Healthy,98.44,0
1,4,0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.0,38.88,23.3739,192,188,Healthy,97.92,0
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100.0,38.9,23.4044,192,187,Healthy,97.4,0
1,6,-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.0,38.98,23.3669,192,186,Healthy,96.88,0
1,7,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.0,39.1,23.3774,192,185,Healthy,96.35,0
1,8,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.0,38.97,23.3106,192,184,Healthy,95.83,0
1,9,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.0,39.05,23.4066,192,183,Healthy,95.31,0
1,10,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.0,38.95,23.4694,192,182,Healthy,94.79,0
1,11,0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100.0,38.94,23.4787,192,181,Healthy,94.27,0
1,12,0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100.0,39.06,23.366,192,180,Healthy,93.75,0
1,13,-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100.0,38.93,23.2757,192,179,Healthy,93.23,0
1,14,0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100.0,39.18,23.3826,192,178,Healthy,92.71,0
1,15,-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100.0,38.99,23.35,192,177,Healthy,92.19,0
1,16,0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.5,14.62,21.61,553.94,2388.05,9049.34,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100.0,38.97,23.455,192,176,Healthy,91.67,0
1,17,0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100.0,38.81,23.3319,192,175,Healthy,91.15,0
1,18,-0.0031,-0.0001,100.0,518.67,642.62,1591.04,1396.12,14.62,21.61,554.2,2388.05,9049.55,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100.0,38.89,23.3987,192,174,Healthy,90.62,0
1,19,0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100.0,38.8,23.3464,192,173,Healthy,90.1,0
1,20,-0.0037,0.0001,100.0,518.67,643.04,1581.11,1405.23,14.62,21.61,554.81,2388.05,9045.9,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,2388,100.0,39.03,23.422,192,172,Healthy,89.58,0
1,21,-0.0012,0.0001,100.0,518.67,642.37,1586.07,1398.13,14.62,21.61,554.08,2388.11,9048.15,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,100.0,39.09,23.3101,192,171,Healthy,89.06,0
1,22,0.0002,0.0,100.0,518.67,642.77,1592.93,1400.57,14.62,21.61,553.63,2388.04,9061.21,1.3,47.24,522.0,2388.03,8130.41,8.4034,0.03,392,2388,100.0,38.92,23.3792,192,170,Healthy,88.54,0
1,23,0.0034,-0.0003,100.0,518.67,642.14,1588.19,1394.75,14.62,21.61,553.98,2388.05,9046.28,1.3,47.25,521.52,2388.05,8127.9,8.424,0.03,392,2388,100.0,38.94,23.4562,192,169,Healthy,88.02,0
1,24,-0.001,0.0003,100.0,518.67,642.38,1590.83,1398.81,14.62,21.61,553.49,2388.12,9043.76,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,2388,100.0,39.0,23.3696,192,168,Healthy,87.5,0
1,25,0.0023,-0.0004,100.0,518.67,642.77,1594.1,1399.39,14.62,21.61,554.0,2388.02,9054.16,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393,2388,100.0,38.95,23.4288,192,167,Healthy,86.98,0
1,26,0.0,0.0002,100.0,518.67,642.16,1589.08,1396.07,14.62,21.61,554.11,2388.07,9047.11,1.3,47.26,522.28,2388.06,8131.15,8.426,0.03,394,2388,100.0,38.86,23.4149,192,166,Healthy,86.46,0
1,27,-0.0012,-0.0004,100.0,518.67,642.44,1590.47,1401.84,14.62,21.61,554.07,2388.02,9047.96,1.3,47.37,522.0,2388.13,8134.6,8.4046,0.03,393,2388,100.0,38.99,23.4472,192,165,Healthy,85.94,0
1,28,-0.0024,0.0005,100.0,518.67,642.35,1582.84,1399.13,14.62,21.61,554.68,2388.12,9049.84,1.3,47.41,522.57,2388.08,8127.3,8.4323,0.03,390,2388,100.0,39.01,23.2841,192,164,Healthy,85.42,0
1,29,0.0012,-0.0001,100.0,518.67,641.91,1584.83,1400.99,14.62,21.61,554.25,2388.05,9050.47,1.3,47.24,522.41,2388.06,8133.06,8.4189,0.03,393,2388,100.0,38.93,23.3597,192,163,Healthy,84.9,0
1,30,-0.0022,0.0,100.0,518.67,642.2,1593.52,1396.08,14.62,21.61,554.37,2388.07,9045.62,1.3,47.4,522.19,2388.0,8137.86,8.4065,0.03,390,2388,100.0,39.05,23.411,192,162,Healthy,84.38,0
1,31,0.0014,0.0005,100.0,518.67,642.02,1584.18,1396.9,14.62,21.61,554.13,2388.08,9058.78,1.3,47.41,521.95,2388.06,8125.28,8.4104,0.03,392,2388,100.0,38.94,23.3353,192,161,Healthy,83.85,0
1,32,0.0005,-0.0003,100.0,518.67,642.33,1591.38,1400.36,14.62,21.61,554.96,2388.04,9050.97,1.3,47.25,521.92,2388.07,8129.7,8.4148,0.03,392,2388,100.0,39.02,23.4999,192,160,Healthy,83.33,0
1,33,-0.0042,-0.0004,100.0,518.67,642.71,1588.4,1402.43,14.62,21.61,554.61,2388.04,9047.13,1.3,47.28,521.91,2388.08,8134.42,8.3753,0.03,392,2388,100.0,38.83,23.3506,192,159,Healthy,82.81,0
1,34,0.0015,-0.0001,100.0,518.67,642.54,1581.47,1400.48,14.62,21.61,554.3,2388.03,9046.46,1.3,47.47,521.7,2388.09,8126.61,8.4349,0.03,392,2388,100.0,38.81,23.3092,192,158,Healthy,82.29,0
1,35,0.0003,0.0002,100.0,518.67,642.44,1590.0,1403.0,14.62,21.61,554.3,2388.04,9045.76,1.3,47.31,521.75,2388.01,8140.17,8.443,0.03,391,2388,100.0,39.13,23.4164,192,157,Healthy,81.77,0
1,36,-0.0004,-0.0002,100.0,518.67,642.54,1581.72,1405.54,14.62,21.61,554.53,2388.01,9044.56,1.3,47.25,522.32,2388.04,8132.48,8.4246,0.03,392,2388,100.0,38.86,23.4308,192,156,Healthy,81.25,0
1,37,-0.0004,-0.0,100.0,518.67,641.99,1579.11,1398.9,14.62,21.61,554.63,2388.07,9055.44,1.3,47.29,522.29,2388.04,8131.95,8.4142,0.03,392,2388,100.0,38.99,23.4352,192,155,Healthy,80.73,0
1,38,-0.0018,-0.0002,100.0,518.67,641.93,1589.6,1399.5,14.62,21.61,554.7,2388.08,9055.27,1.3,47.27,522.42,2388.08,8136.61,8.4158,0.03,392,2388,100.0,39.06,23.4768,192,154,Healthy,80.21,0
1,39,-0.003,-0.0001,100.0,518.67,642.01,1583.21,1400.69,14.62,21.61,553.97,2388.02,9051.76,1.3,47.12,522.23,2388.05,8131.81,8.414,0.03,392,2388,100.0,38.7,23.3699,192,153,Healthy,79.69,0
1,40,-0.0,-0.0004,100.0,518.67,642.24,1582.08,1401.77,14.62,21.61,554.57,2388.06,9052.98,1.3,47.33,521.84,2388.01,8131.03,8.3784,0.03,392,2388,100.0,38.84,23.3769,192,152,Healthy,79.17,0
1,41,0.0033,0.0004,100.0,518.67,642.4,1591.31,1403.21,14.62,21.61,553.72,2388.06,9048.99,1.3,47.09,522.07,2388.03,8138.08,8.437,0.03,392,2388,100.0,39.13,23.4444,192,151,Healthy,78.65,0
1,42,0.0005,-0.0004,100.0,518.67,642.12,1584.66,1401.38,14.62,21.61,553.94,2388.08,9057.06,1.3,47.49,522.23,2388.05,8130.88,8.4137,0.03,392,2388,100.0,39.0,23.375,192,150,Healthy,78.12,0
1,43,-0.0027,0.0005,100.0,518.67,642.24,1591.52,1406.05,14.62,21.61,553.68,2388.03,9057.88,1.3,47.32,522.74,2388.09,8127.22,8.4068,0.03,392,2388,100.0,38.99,23.3148,192,149,Healthy,77.6,0
1,44,-0.0001,0.0002,100.0,518.67,641.93,1586.94,1401.2,14.62,21.61,554.15,2388.04,9046.87,1.3,47.45,522.3,2388.0,8131.45,8.4201,0.03,392,2388,100.0,39.06,23.4753,192,148,Healthy,77.08,0
1,45,-0.0013,-0.0,100.0,518.67,642.53,1582.42,1399.16,14.62,21.61,553.83,2388.08,9060.32,1.3,47.45,521.73,2388.05,8128.31,8.4099,0.03,393,2388,100.0,38.79,23.3943,192,147,Healthy,76.56,0
1,46,0.0003,0.0001,100.0,518.67,642.43,1588.29,1401.27,14.62,21.61,553.76,2388.06,9060.38,1.3,47.2,522.02,2388.08,8128.71,8.3977,0.03,393,2388,100.0,38.93,23.3745,192,146,Healthy,76.04,0
1,47,0.0,0.0005,100.0,518.67,642.21,1580.32,1402.89,14.62,21.61,554.38,2388.06,9052.04,1.3,47.22,521.84,2388.05,8126.21,8.3973,0.03,392,2388,100.0,38.99,23.4873,192,145,Healthy,75.52,0
1,48,0.0019,0.0001,100.0,518.67,641.89,1588.51,1399.16,14.62,21.61,554.02,2388.08,9045.26,1.3,47.4,521.91,2388.06,8129.99,8.4376,0.03,392,2388,100.0,38.94,23.365,192,144,Healthy,75.0,0
1,49,-0.0014,0.0005,100.0,518.67,642.23,1584.35,1397.76,14.62,21.61,554.23,2388.07,9050.64,1.3,47.22,521.37,2388.04,8135.48,8.4151,0.03,392,2388,100.0,39.06,23.4498,192,143,Healthy,74.48,0
